orig_food_id|id_food_table|food_group|food_subgroup|nombre_primario|nombre_secundario|G_energy|G_protein|G_fiber, total dietary|G_carbohydrate|G_carbohydrate, by difference|G_fatty acids, total monounsaturated|G_fatty acids, total polyunsaturated|G_fatty acids, total saturated|G_sugars, total|G_total lipid (fat)|G_ash|M_calcium|M_chromium|M_iodine|M_iron|M_magnesium|M_manganese|M_phosphorus|M_potassium|M_selenium|M_sodium|M_zinc|M_copper|V_vit b1|V_vit b12|V_vit b2|V_vit b5|V_vit b6|V_vit b9|V_vit c|V_vit h|V_vit k|AE_alanine|AE_arginine|AE_aspartic acid|AE_cystine|AE_glutamine|AE_glycine|AE_proline|AE_serine|AE_tyrosine|ANE_histidine|ANE_isoleucine|ANE_leucine|ANE_lysine|ANE_methionine|ANE_phenylalanine|ANE_threonine|ANE_tryptophan|ANE_valine|OT_betaine|OT_caffeine|OT_choline|OT_theobromine
44|135|"fruits"|"other fruits"|"date"|"date, dried"|329.110899|2000.000000|6400.000000|71200.000000|0.000000|0.000000|0.000000|200.000000|63900.000000|0.000000|1600.000000|50.900000|0.080000|0.001800|1.000000|54.000000|0.400000|56.000000|643.000000|0.002000|6.000000|5.100000|0.260000|0.030000|0.000000|0.090000|0.780000|0.130000|0.021000|3.000000|0.000000|0.000000|93.000000|67.000000|120.000000|42.000000|210.000000|90.000000|120.000000|67.000000|29.000000|29.000000|45.000000|86.000000|54.000000|26.000000|58.000000|54.000000|54.000000|64.000000|0.000000|0.000000|0.000000|0.000000
8172|270|"cereals and cereal products"|"cereal products"|"breakfast cereal"|"cereals, farina, unenriched, dry"|369.024857|10600.000000|1900.000000|0.000000|78000.000000|60.000000|220.000000|80.000000|0.000000|500.000000|400.000000|14.000000|0.000000|0.000000|1.500000|13.000000|0.693000|88.000000|94.000000|0.023500|3.000000|0.530000|0.079000|0.060000|0.000000|0.100000|0.416000|0.058000|0.024000|0.000000|0.000000|0.000000|311.000000|390.000000|433.000000|299.000000|3817.000000|335.000000|1165.000000|499.000000|278.000000|215.000000|409.000000|724.000000|203.000000|165.000000|514.000000|280.000000|136.000000|451.000000|0.000000|0.000000|0.000000|0.000000
35183|205|"cereals and cereal products"|"cereals"|"corn"|"corn, dried, yellow (northern plains indians)"|419.000000|14480.000000|20500.000000|0.000000|66270.000000|3750.000000|4543.000000|1974.000000|21320.000000|10640.000000|2240.000000|25.000000|0.000000|0.000000|2.610000|149.000000|0.900000|344.000000|775.000000|0.056500|4.000000|3.060000|0.293000|0.261000|0.000000|0.181000|1.590000|1.110000|0.111000|0.000000|0.000000|0.000000|1156.000000|581.000000|1013.000000|200.000000|2358.000000|539.000000|1047.000000|732.000000|465.000000|313.000000|485.000000|1468.000000|498.000000|293.000000|642.000000|431.000000|94.000000|655.000000|0.000000|0.000000|0.000000|0.000000
2024|420|"herbs and spices"|"spices"|"white mustard"|"spices, mustard seed, ground"|508.126195|26080.000000|12200.000000|0.000000|28090.000000|22518.000000|10088.000000|1989.000000|6790.000000|36240.000000|4330.000000|266.000000|0.000000|0.000000|9.210000|370.000000|2.448000|828.000000|738.000000|0.208100|13.000000|6.080000|0.645000|0.805000|0.000000|0.261000|0.810000|0.397000|0.162000|7.100000|0.000000|0.005400|1173.000000|1933.000000|2435.000000|680.000000|5265.000000|1587.000000|2810.000000|759.000000|809.000000|878.000000|1183.000000|2080.000000|1844.000000|483.000000|1173.000000|838.000000|256.000000|1509.000000|1.900000|0.000000|122.700000|0.000000
12128|372|"herbs and spices"|"other seeds"|"ginkgo nuts"|"nuts, ginkgo nuts, dried"|348.000000|10350.000000|0.000000|0.000000|72450.000000|739.000000|737.000000|381.000000|0.000000|2000.000000|2800.000000|20.000000|0.000000|0.000000|1.600000|53.000000|0.220000|269.000000|998.000000|0.000000|13.000000|0.670000|0.536000|0.430000|0.000000|0.176000|1.345000|0.641000|0.106000|29.300000|0.000000|0.000000|591.000000|1005.000000|1298.000000|55.000000|2001.000000|554.000000|830.000000|695.000000|146.000000|244.000000|500.000000|755.000000|494.000000|133.000000|408.000000|640.000000|170.000000|677.000000|0.000000|0.000000|0.000000|0.000000
12021|42|"herbs and spices"|"oilseed crops"|"safflower"|"seeds, safflower seed kernels, dried"|517.000000|16180.000000|0.000000|0.000000|34290.000000|4848.000000|28223.000000|3682.000000|0.000000|38450.000000|5470.000000|78.000000|0.000000|0.000000|4.900000|353.000000|2.014000|644.000000|687.000000|0.000000|3.000000|5.050000|1.747000|1.163000|0.000000|0.415000|4.030000|1.170000|0.160000|0.000000|0.000000|0.000000|772.000000|1749.000000|1807.000000|311.000000|3699.000000|1010.000000|726.000000|812.000000|531.000000|452.000000|717.000000|1154.000000|534.000000|284.000000|806.000000|586.000000|183.000000|1025.000000|0.000000|0.000000|0.000000|0.000000
35137|205|"cereals and cereal products"|"cereals"|"corn"|"cornmeal, yellow (navajo)"|384.000000|9850.000000|9400.000000|0.000000|72900.000000|2143.000000|2352.000000|1043.000000|1560.000000|5880.000000|1220.000000|6.000000|0.000000|0.000000|2.990000|107.000000|0.641000|225.000000|322.000000|0.006000|4.000000|3.100000|0.242000|0.300000|0.000000|0.093000|0.595000|0.590000|0.034000|0.000000|0.000000|0.000200|769.000000|421.000000|662.000000|184.000000|1875.000000|360.000000|854.000000|471.000000|294.000000|265.000000|370.000000|1275.000000|301.000000|230.000000|499.000000|307.000000|50.000000|494.000000|0.000000|0.000000|0.000000|0.000000
52|81|"fruits"|"other fruits"|"fig"|"fig, dried"|260.994264|3300.000000|9300.000000|62900.000000|0.000000|0.000000|0.000000|159.000000|52900.000000|0.000000|1900.000000|193.000000|0.000069|0.001100|2.200000|92.000000|0.510000|83.100000|1010.000000|0.000000|87.000000|0.900000|0.240000|0.085000|0.000000|0.110000|0.435000|0.120000|0.009000|1.200000|1.000000|0.000000|200.000000|74.000000|790.000000|52.000000|310.000000|110.000000|210.000000|160.000000|140.000000|47.000000|100.000000|140.000000|130.000000|26.000000|79.000000|100.000000|26.000000|130.000000|0.000000|0.000000|0.000000|0.000000
12220|101|"herbs and spices"|"oilseed crops"|"flaxseed"|"seeds, flaxseed"|534.000000|18290.000000|27300.000000|0.000000|28880.000000|7527.000000|28730.000000|3663.000000|1550.000000|42160.000000|3720.000000|255.000000|0.000000|0.000000|5.730000|392.000000|2.482000|642.000000|813.000000|0.025400|30.000000|4.340000|1.220000|1.644000|0.000000|0.161000|0.985000|0.473000|0.087000|0.600000|0.000000|0.004300|925.000000|1925.000000|2046.000000|340.000000|4039.000000|1248.000000|806.000000|970.000000|493.000000|472.000000|896.000000|1235.000000|862.000000|370.000000|957.000000|766.000000|297.000000|1072.000000|3.100000|0.000000|78.700000|0.000000
2019|186|"herbs and spices"|"herbs"|"fenugreek"|"spices, fenugreek seed"|323.135755|23000.000000|24600.000000|0.000000|58350.000000|0.000000|0.000000|1460.000000|0.000000|6410.000000|3400.000000|176.000000|0.000000|0.000000|33.530000|191.000000|1.228000|296.000000|770.000000|0.006300|67.000000|2.500000|1.110000|0.322000|0.000000|0.366000|0.000000|0.600000|0.057000|3.000000|0.000000|0.000000|1020.000000|2465.000000|2708.000000|369.000000|3988.000000|1306.000000|1198.000000|1215.000000|764.000000|668.000000|1241.000000|1757.000000|1684.000000|338.000000|1089.000000|898.000000|391.000000|1102.000000|0.000000|0.000000|0.000000|0.000000
