id_aux|food_group|food_subgroup|id_food_table|nombre_primario|nombre_secundario|orig_food_id|G_energy|G_protein|G_fiber, total dietary|G_carbohydrate|G_carbohydrate, by difference|G_fatty acids, total monounsaturated|G_fatty acids, total polyunsaturated|G_fatty acids, total saturated|G_sugars, total|G_total lipid (fat)|G_ash|M_calcium|M_chromium|M_iodine|M_iron|M_magnesium|M_manganese|M_phosphorus|M_potassium|M_selenium|M_sodium|M_zinc|M_copper|V_vit b1|V_vit b12|V_vit b2|V_vit b5|V_vit b6|V_vit b9|V_vit c|V_vit h|V_vit k|AE_alanine|AE_arginine|AE_aspartic acid|AE_cystine|AE_glutamine|AE_glycine|AE_proline|AE_serine|AE_tyrosine|ANE_histidine|ANE_isoleucine|ANE_leucine|ANE_lysine|ANE_methionine|ANE_phenylalanine|ANE_threonine|ANE_tryptophan|ANE_valine|OT_betaine|OT_caffeine|OT_choline|OT_theobromine
1|"fruits"|"drupes"|144|"apricot"|"apricot, dried"|1|"277,0076"|"3390,0000"|"7300,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"135,0000"|"41900,0000"|"0,0000"|"2800,0000"|"67,5000"|"0,0800"|"0,0034"|"6,0000"|"41,0000"|"0,2350"|"65,7000"|"1026,0000"|"0,0022"|"21,0000"|"0,2000"|"0,2700"|"0,0000"|"0,0000"|"0,0600"|"0,7000"|"0,1700"|"0,0140"|"1,0000"|"1,0000"|"0,0000"|"100,0000"|"60,0000"|"580,0000"|"1,0000"|"120,0000"|"70,0000"|"770,0000"|"93,0000"|"36,0000"|"44,0000"|"79,0000"|"140,0000"|"120,0000"|"19,0000"|"79,0000"|"65,0000"|"14,0000"|"120,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"
2|"pulses"|"beans"|134|"common bean"|"beans, white, dried"|25|"324,0918"|"18900,0000"|"17800,0000"|"45600,0000"|"0,0000"|"0,0000"|"0,0000"|"12600,0000"|"3600,0000"|"0,0000"|"3900,0000"|"126,0000"|"0,0114"|"0,0006"|"5,5000"|"184,0000"|"2,0000"|"425,0000"|"1530,0000"|"0,0088"|"6,0000"|"2,7800"|"0,4700"|"0,4370"|"0,0000"|"0,1460"|"0,9800"|"0,5080"|"0,2260"|"0,0000"|"0,5000"|"0,1700"|"890,0000"|"1300,0000"|"2600,0000"|"230,0000"|"3200,0000"|"820,0000"|"890,0000"|"1200,0000"|"610,0000"|"580,0000"|"950,0000"|"1700,0000"|"1500,0000"|"320,0000"|"1200,0000"|"890,0000"|"250,0000"|"1100,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"
3|"pulses"|"beans"|134|"common bean"|"beans, brown, dried"|29|"313,8145"|"18900,0000"|"17800,0000"|"43000,0000"|"0,0000"|"0,0000"|"0,0000"|"12600,0000"|"3200,0000"|"0,0000"|"3400,0000"|"77,3000"|"0,0114"|"0,0019"|"5,0000"|"131,0000"|"2,0000"|"477,0000"|"1327,0000"|"0,0088"|"8,0000"|"2,0000"|"0,5000"|"0,3500"|"0,0000"|"0,1400"|"0,5000"|"0,4150"|"0,1400"|"0,0000"|"0,5000"|"0,1700"|"730,0000"|"910,0000"|"230,0000"|"120,0000"|"2500,0000"|"700,0000"|"700,0000"|"1200,0000"|"420,0000"|"480,0000"|"880,0000"|"1300,0000"|"1400,0000"|"170,0000"|"940,0000"|"790,0000"|"240,0000"|"1900,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"
4|"soy"|"soy"|85|"soy bean"|"beans, soy, dried"|32|"410,6119"|"35800,0000"|"16600,0000"|"17500,0000"|"0,0000"|"0,0000"|"0,0000"|"2560,0000"|"6100,0000"|"0,0000"|"4700,0000"|"163,0000"|"0,0168"|"0,0006"|"15,7000"|"225,0000"|"2,0000"|"467,0000"|"1676,0000"|"0,0088"|"4,0000"|"1,0000"|"0,1100"|"0,8740"|"0,0000"|"0,8700"|"1,9200"|"0,4170"|"0,2800"|"0,0000"|"60,0000"|"0,0470"|"1500,0000"|"2600,0000"|"4200,0000"|"480,0000"|"6700,0000"|"1500,0000"|"2000,0000"|"1800,0000"|"1100,0000"|"910,0000"|"1600,0000"|"2800,0000"|"2300,0000"|"450,0000"|"1800,0000"|"1400,0000"|"460,0000"|"1700,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"
7|"fruits"|"drupes"|149|"peach"|"peach, dried"|51|"336,0421"|"4900,0000"|"14300,0000"|"68400,0000"|"0,0000"|"0,0000"|"0,0000"|"94,0000"|"51100,0000"|"0,0000"|"3400,0000"|"25,0000"|"0,0000"|"0,0028"|"6,8000"|"80,0000"|"0,6700"|"120,0000"|"945,0000"|"0,0000"|"79,0000"|"0,5700"|"0,6300"|"0,0020"|"0,0000"|"0,0650"|"0,3000"|"0,1500"|"0,0140"|"4,8000"|"0,0000"|"0,0000"|"240,0000"|"100,0000"|"540,0000"|"55,0000"|"850,0000"|"94,0000"|"170,0000"|"20,0000"|"120,0000"|"100,0000"|"77,0000"|"170,0000"|"180,0000"|"180,0000"|"110,0000"|"170,0000"|"23,0000"|"240,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"
10|"herbs and spices"|"herbs"|456|"rose hip"|"rose hip, dried, powder"|95|"276,2906"|"4500,0000"|"43000,0000"|"40000,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"28000,0000"|"0,0000"|"5200,0000"|"663,0000"|"0,0060"|"0,0009"|"4,2000"|"240,0000"|"5,5000"|"104,0000"|"1600,0000"|"0,0005"|"24,0000"|"0,5800"|"0,2600"|"0,0600"|"0,0000"|"0,3000"|"0,0000"|"0,0500"|"0,2100"|"41,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"
11|"vegetables"|"tubers"|175|"potato"|"potato flour"|116|"347,5143"|"200,0000"|"300,0000"|"85000,0000"|"0,0000"|"0,0000"|"0,0000"|"19,0000"|"0,0000"|"0,0000"|"200,0000"|"25,0000"|"0,0030"|"0,0003"|"0,3800"|"6,0000"|"0,1000"|"7,2000"|"34,0000"|"0,0004"|"3,5000"|"0,1600"|"0,0760"|"0,0050"|"0,0000"|"0,0030"|"0,0000"|"0,0100"|"0,0820"|"0,0000"|"0,0000"|"0,0000"|"7,0000"|"8,0000"|"42,0000"|"2,0000"|"27,0000"|"6,0000"|"7,0000"|"7,0000"|"4,0000"|"4,0000"|"7,0000"|"11,0000"|"12,0000"|"3,0000"|"8,0000"|"7,0000"|"3,0000"|"12,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"
12|"pulses"|"lentils"|98|"lentils"|"lentils, dried"|147|"350,8604"|"26200,0000"|"5300,0000"|"50500,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"2400,0000"|"0,0000"|"2400,0000"|"55,7000"|"0,0131"|"0,0007"|"6,5000"|"77,0000"|"0,0000"|"371,0000"|"670,0000"|"0,0120"|"36,0000"|"3,0600"|"0,6700"|"0,5000"|"0,0000"|"0,2000"|"1,3600"|"0,5560"|"0,0350"|"0,0000"|"0,0000"|"0,0000"|"1100,0000"|"2300,0000"|"3000,0000"|"250,0000"|"4400,0000"|"1100,0000"|"1100,0000"|"1400,0000"|"840,0000"|"710,0000"|"1100,0000"|"2000,0000"|"1900,0000"|"210,0000"|"1400,0000"|"1000,0000"|"250,0000"|"1300,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"
13|"soy"|"soy"|85|"soy bean"|"soya flour, full fat"|155|"449,0918"|"40700,0000"|"10400,0000"|"16500,0000"|"0,0000"|"0,0000"|"0,0000"|"3090,0000"|"3100,0000"|"0,0000"|"5100,0000"|"150,0000"|"0,0230"|"0,0005"|"4,0000"|"240,0000"|"2,3000"|"560,0000"|"1936,0000"|"0,0110"|"2,0000"|"5,0000"|"1,6000"|"0,7500"|"0,0000"|"0,3100"|"1,8000"|"0,5700"|"0,8000"|"0,0000"|"0,0000"|"0,2000"|"1800,0000"|"2900,0000"|"4800,0000"|"650,0000"|"7600,0000"|"1700,0000"|"2200,0000"|"2100,0000"|"1300,0000"|"1000,0000"|"1800,0000"|"3200,0000"|"2600,0000"|"520,0000"|"2000,0000"|"1600,0000"|"520,0000"|"2000,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"
14|"cereals and cereal products"|"cereals"|205|"corn"|"corn flour"|172|"365,2008"|"6800,0000"|"3200,0000"|"75500,0000"|"0,0000"|"0,0000"|"0,0000"|"442,0000"|"1260,0000"|"0,0000"|"600,0000"|"6,0000"|"0,0026"|"0,0006"|"1,1000"|"47,0000"|"0,0000"|"99,0000"|"120,0000"|"0,0032"|"1,0000"|"0,5000"|"0,0000"|"0,3300"|"0,0000"|"0,1100"|"0,0000"|"0,3300"|"0,0200"|"0,0000"|"0,0000"|"0,0000"|"510,0000"|"280,0000"|"440,0000"|"110,0000"|"1400,0000"|"250,0000"|"610,0000"|"350,0000"|"260,0000"|"190,0000"|"250,0000"|"860,0000"|"190,0000"|"130,0000"|"350,0000"|"250,0000"|"44,0000"|"330,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"
