;orig_food_id;id_food_table;food_group;food_subgroup;nombre_primario;nombre_secundario;G_energy;G_protein;G_fiber, total dietary;G_carbohydrate;G_carbohydrate, by difference;G_fatty acids, total monounsaturated;G_fatty acids, total polyunsaturated;G_fatty acids, total saturated;G_sugars, total;G_total lipid (fat);G_ash;M_calcium;M_iron;M_magnesium;M_manganese;M_phosphorus;M_potassium;M_selenium;M_sodium;M_zinc;M_copper;V_vit b1;V_vit b2;V_vit b5;V_vit b6;V_vit b9;V_vit c;V_vit k;AE_alanine;AE_arginine;AE_aspartic acid;AE_cystine;AE_glutamine;AE_glycine;AE_proline;AE_serine;AE_tyrosine;ANE_histidine;ANE_isoleucine;ANE_leucine;ANE_lysine;ANE_methionine;ANE_phenylalanine;ANE_threonine;ANE_tryptophan;ANE_valine;OT_choline;Cluster
0;44;135;fruits;other fruits;date;date, dried;329.110899;2000.0;6400.0;71200.0;0.0;0.0;0.0;200.0;63900.0;0.0;1600.0;50.9;1.0;54.0;0.4;56.0;643.0;0.002;6.0;5.1;0.26;0.03;0.09;0.78;0.13;0.021;3.0;0.0;93.0;67.0;120.0;42.0;210.0;90.0;120.0;67.0;29.0;29.0;45.0;86.0;54.0;26.0;58.0;54.0;54.0;64.0;0.0;0
1;8172;270;cereals and cereal products;cereal products;breakfast cereal;cereals, farina, unenriched, dry;369.024857;10600.0;1900.0;0.0;78000.0;60.0;220.0;80.0;0.0;500.0;400.0;14.0;1.5;13.0;0.693;88.0;94.0;0.0235;3.0;0.53;0.079;0.06;0.1;0.416;0.058;0.024;0.0;0.0;311.0;390.0;433.0;299.0;3817.0;335.0;1165.0;499.0;278.0;215.0;409.0;724.0;203.0;165.0;514.0;280.0;136.0;451.0;0.0;1
2;35183;205;cereals and cereal products;cereals;corn;corn, dried, yellow (northern plains indians);419.0;14480.0;20500.0;0.0;66270.0;3750.0;4543.0;1974.0;21320.0;10640.0;2240.0;25.0;2.61;149.0;0.9;344.0;775.0;0.0565;4.0;3.06;0.293;0.261;0.181;1.59;1.11;0.111;0.0;0.0;1156.0;581.0;1013.0;200.0;2358.0;539.0;1047.0;732.0;465.0;313.0;485.0;1468.0;498.0;293.0;642.0;431.0;94.0;655.0;0.0;2
3;2024;420;herbs and spices;spices;white mustard;spices, mustard seed, ground;508.126195;26080.0;12200.0;0.0;28090.0;22518.0;10088.0;1989.0;6790.0;36240.0;4330.0;266.0;9.21;370.0;2.448;828.0;738.0;0.2081;13.0;6.08;0.645;0.805;0.261;0.81;0.397;0.162;7.1;0.0054;1173.0;1933.0;2435.0;680.0;5265.0;1587.0;2810.0;759.0;809.0;878.0;1183.0;2080.0;1844.0;483.0;1173.0;838.0;256.0;1509.0;122.7;3
4;12128;372;herbs and spices;other seeds;ginkgo nuts;nuts, ginkgo nuts, dried;348.0;10350.0;0.0;0.0;72450.0;739.0;737.0;381.0;0.0;2000.0;2800.0;20.0;1.6;53.0;0.22;269.0;998.0;0.0;13.0;0.67;0.536;0.43;0.176;1.345;0.641;0.106;29.3;0.0;591.0;1005.0;1298.0;55.0;2001.0;554.0;830.0;695.0;146.0;244.0;500.0;755.0;494.0;133.0;408.0;640.0;170.0;677.0;0.0;1
5;12021;42;herbs and spices;oilseed crops;safflower;seeds, safflower seed kernels, dried;517.0;16180.0;0.0;0.0;34290.0;4848.0;28223.0;3682.0;0.0;38450.0;5470.0;78.0;4.9;353.0;2.014;644.0;687.0;0.0;3.0;5.05;1.747;1.163;0.415;4.03;1.17;0.16;0.0;0.0;772.0;1749.0;1807.0;311.0;3699.0;1010.0;726.0;812.0;531.0;452.0;717.0;1154.0;534.0;284.0;806.0;586.0;183.0;1025.0;0.0;3
6;35137;205;cereals and cereal products;cereals;corn;cornmeal, yellow (navajo);384.0;9850.0;9400.0;0.0;72900.0;2143.0;2352.0;1043.0;1560.0;5880.0;1220.0;6.0;2.99;107.0;0.641;225.0;322.0;0.006;4.0;3.1;0.242;0.3;0.093;0.595;0.59;0.034;0.0;0.0002;769.0;421.0;662.0;184.0;1875.0;360.0;854.0;471.0;294.0;265.0;370.0;1275.0;301.0;230.0;499.0;307.0;50.0;494.0;0.0;1
7;52;81;fruits;other fruits;fig;fig, dried;260.994264;3300.0;9300.0;62900.0;0.0;0.0;0.0;159.0;52900.0;0.0;1900.0;193.0;2.2;92.0;0.51;83.1;1010.0;0.0;87.0;0.9;0.24;0.085;0.11;0.435;0.12;0.009;1.2;0.0;200.0;74.0;790.0;52.0;310.0;110.0;210.0;160.0;140.0;47.0;100.0;140.0;130.0;26.0;79.0;100.0;26.0;130.0;0.0;0
8;12220;101;herbs and spices;oilseed crops;flaxseed;seeds, flaxseed;534.0;18290.0;27300.0;0.0;28880.0;7527.0;28730.0;3663.0;1550.0;42160.0;3720.0;255.0;5.73;392.0;2.482;642.0;813.0;0.0254;30.0;4.34;1.22;1.644;0.161;0.985;0.473;0.087;0.6;0.0043;925.0;1925.0;2046.0;340.0;4039.0;1248.0;806.0;970.0;493.0;472.0;896.0;1235.0;862.0;370.0;957.0;766.0;297.0;1072.0;78.7;3
9;2019;186;herbs and spices;herbs;fenugreek;spices, fenugreek seed;323.135755;23000.0;24600.0;0.0;58350.0;0.0;0.0;1460.0;0.0;6410.0;3400.0;176.0;33.53;191.0;1.228;296.0;770.0;0.0063;67.0;2.5;1.11;0.322;0.366;0.0;0.6;0.057;3.0;0.0;1020.0;2465.0;2708.0;369.0;3988.0;1306.0;1198.0;1215.0;764.0;668.0;1241.0;1757.0;1684.0;338.0;1089.0;898.0;391.0;1102.0;0.0;2
