id_aux;food_group;food_subgroup;id_food_table;nombre_primario;nombre_secundario;mean;std;zeros;zeros (%)
144;1;fruits;drupes;apricot;apricot, dried;1102.6470786666666;5770.411944271467;12;19.672131147540984
134;25;pulses;beans;common bean;beans, white, dried;2319.2375847777776;7118.081244281161;10;16.39344262295082
134;29;pulses;beans;common bean;beans, brown, dried;2163.9972524444447;6830.809960675577;10;16.39344262295082
85;32;soy;soy;soy bean;beans, soy, dried;2251.6454824999996;5772.900150133849;10;16.39344262295082
707;35;cocoa and cocoa products;cocoa products;cocoa powder;cocoa, powder;2073.7724957592595;5591.974966446515;14;22.950819672131146
135;44;fruits;other fruits;date;date, dried;2736.2575129444444;12883.048081488285;11;18.0327868852459
149;51;fruits;drupes;peach;peach, dried;2726.5193678703695;11599.274144673946;13;21.311475409836063
81;52;fruits;other fruits;fig;fig, dried;2500.2945265370363;11091.690881523416;11;18.0327868852459
8;90;herbs and spices;herbs;garlic;garlic, dried, powder;1971.7408219629633;8823.74889780421;20;32.78688524590164
456;95;herbs and spices;herbs;rose hip;rose hip, dried, powder;2289.9899635370366;8687.724705018054;31;50.81967213114754
175;116;vegetables;tubers;potato;potato flour;1598.519147962963;11563.860544176283;14;22.950819672131146
98;147;pulses;lentils;lentils;lentils, dried;2106.1753189074075;7637.502066754704;14;22.950819672131146
85;155;soy;soy;soy bean;soya flour, full fat;2269.156597740741;6061.641018337904;11;18.0327868852459
205;172;cereals and cereal products;cereals;corn;corn flour;1763.8258734259264;10274.855099610593;15;24.59016393442623
205;173;cereals and cereal products;cereals;corn;corn starch;1670.2431185000003;12080.97673504257;38;62.295081967213115
381;192;nuts;nuts;hazelnut;nut, hazel (uk), filbert (usa), dried;1385.8323565185185;3649.2956759173508;10;16.39344262295082
16;193;nuts;nuts;peanut;nut, pea, dried;1867.4801949629632;4610.948122315369;11;18.0327868852459
125;222;cereals and cereal products;cereals;rice;rice flour;1780.656584425926;10794.677513639586;13;21.311475409836063
147;280;fruits;drupes;european plum;prune, dried plum;2025.9500425000003;9101.7181776318;11;18.0327868852459
105;338;fruits;pomes;apple;apple, dried;989.8979523333335;5673.90753389072;13;21.311475409836063
682;389;baking goods;baking goods;leavening agent;baking powder;2324.494688759259;8765.955400645942;44;72.1311475409836
700;406;herbs and spices;herb and spice mixtures;curry powder;curry powder;1538.6913563888886;5853.652303741735;34;55.73770491803278
