;mean;std
G_carbohydrate, by difference;46779.36893203884;29794.301093474085
G_carbohydrate;7603.883495145631;19597.463361638176
G_total lipid (fat);11430.776699029126;17771.63021136231
G_sugars, total;7229.174757281553;15448.388338026776
G_fiber, total dietary;12962.621359223302;12502.054891480453
G_protein;14421.990291262136;11603.97856161592
G_ash;5390.0485436893205;8571.093990428175
G_fatty acids, total polyunsaturated;4039.6553398058254;8312.065845923706
G_fatty acids, total saturated;3299.902912621359;6954.729270057631
G_fatty acids, total monounsaturated;3315.150485436893;6432.206425797677
AE_glutamine;2256.150485436893;2683.558676900063
AE_arginine;1078.7135922330096;1541.064219079317
AE_aspartic acid;1173.0485436893205;1440.819302010717
M_sodium;254.79606796116505;1263.9392520025463
M_potassium;1099.2524271844661;1213.174555380778
M_calcium;429.61199029126215;1130.3290836533424
M_phosphorus;483.65291262135923;1025.6595024148678
ANE_leucine;851.0776699029126;985.4094722927625
AE_glycine;568.7281553398059;721.4509593282172
AE_proline;646.3543689320388;717.556535143511
