('id', 'source_id', 'source_type', 'food_id', 'orig_food_id', 'orig_food_common_name', 'orig_food_scientific_name', 'orig_food_part', 'orig_source_id', 'orig_source_name', 'orig_content', 'orig_min', 'orig_max', 'orig_unit', 'orig_citation', 'citation', 'citation_type', 'creator_id', 'updater_id', 'created_at', 'updated_at', 'orig_method', 'orig_unit_expression', 'standard_content', 'preparation_type', 'export')
(1378353, 574, 'Compound', 219, None, None, None, None, None, None, None, None, None, None, None, 'MANUAL', 'UNKNOWN', None, None, datetime.datetime(2015, 5, 7, 21, 8, 12), datetime.datetime(2015, 5, 7, 21, 8, 12), None, None, None, None, 1)
(1093425, 710, 'Compound', 219, None, None, None, None, None, None, None, None, None, None, None, 'MANUAL', 'UNKNOWN', None, None, datetime.datetime(2015, 5, 7, 19, 56, 18), datetime.datetime(2015, 5, 7, 19, 56, 18), None, None, None, None, 1)
(1638492, 1014, 'Compound', 219, None, None, None, None, None, None, None, None, None, None, None, 'MANUAL', 'UNKNOWN', None, None, datetime.datetime(2015, 5, 14, 7, 1, 38), datetime.datetime(2015, 5, 14, 7, 1, 38), None, None, None, None, 1)
(1450716, 1977, 'Compound', 219, None, None, None, None, None, None, None, None, None, None, None, 'MANUAL', 'UNKNOWN', None, None, datetime.datetime(2015, 5, 7, 21, 26, 50), datetime.datetime(2015, 5, 7, 21, 26, 50), None, None, None, None, 1)
(1078974, 2100, 'Compound', 219, None, None, None, None, None, None, None, None, None, None, None, 'MANUAL', 'UNKNOWN', None, None, datetime.datetime(2015, 5, 7, 19, 52, 27), datetime.datetime(2015, 5, 7, 19, 52, 27), None, None, None, None, 1)
(1630220, 3011, 'Compound', 219, None, None, None, None, None, None, None, None, None, None, None, 'MANUAL', 'UNKNOWN', None, None, datetime.datetime(2015, 5, 14, 6, 58, 3), datetime.datetime(2015, 5, 14, 6, 58, 3), None, None, None, None, 1)
(1599056, 3514, 'Compound', 219, None, None, None, None, None, None, None, None, None, None, None, 'MANUAL', 'UNKNOWN', None, None, datetime.datetime(2015, 5, 14, 6, 45, 46), datetime.datetime(2015, 5, 14, 6, 45, 46), None, None, None, None, 1)
(1633383, 3519, 'Compound', 219, None, None, None, None, None, None, None, None, None, None, None, 'MANUAL', 'UNKNOWN', None, None, datetime.datetime(2015, 5, 14, 6, 59, 31), datetime.datetime(2015, 5, 14, 6, 59, 31), None, None, None, None, 1)
(1626921, 3522, 'Compound', 219, None, None, None, None, None, None, None, None, None, None, None, 'MANUAL', 'UNKNOWN', None, None, datetime.datetime(2015, 5, 14, 6, 56, 21), datetime.datetime(2015, 5, 14, 6, 56, 21), None, None, None, None, 1)
(1615236, 9021, 'Compound', 219, None, None, None, None, None, None, None, None, None, None, None, 'MANUAL', 'UNKNOWN', None, None, datetime.datetime(2015, 5, 14, 6, 52, 46), datetime.datetime(2015, 5, 14, 6, 52, 46), None, None, None, None, 1)
(1648276, 12163, 'Compound', 219, None, None, None, None, None, None, None, None, None, None, None, 'MANUAL', 'UNKNOWN', None, None, datetime.datetime(2015, 5, 14, 7, 5, 6), datetime.datetime(2015, 5, 14, 7, 5, 6), None, None, None, None, 1)
(1109324, 12295, 'Compound', 219, None, None, None, None, None, None, None, None, None, None, None, 'MANUAL', 'UNKNOWN', None, None, datetime.datetime(2015, 5, 7, 20, 0, 21), datetime.datetime(2015, 5, 7, 20, 0, 21), None, None, None, None, 1)
(1616720, 13393, 'Compound', 219, None, None, None, None, None, None, None, None, None, None, None, 'MANUAL', 'UNKNOWN', None, None, datetime.datetime(2015, 5, 14, 6, 53, 17), datetime.datetime(2015, 5, 14, 6, 53, 17), None, None, None, None, 1)
(1094199, 30890, 'Compound', 219, None, None, None, None, None, None, None, None, None, None, None, 'MANUAL', 'UNKNOWN', None, None, datetime.datetime(2015, 5, 7, 19, 56, 30), datetime.datetime(2015, 5, 7, 19, 56, 30), None, None, None, None, 1)
