('id', 'source_id', 'source_type', 'food_id', 'orig_food_id', 'orig_food_common_name', 'orig_food_scientific_name', 'orig_food_part', 'orig_source_id', 'orig_source_name', 'orig_content', 'orig_min', 'orig_max', 'orig_unit', 'orig_citation', 'citation', 'citation_type', 'creator_id', 'updater_id', 'created_at', 'updated_at', 'orig_method', 'orig_unit_expression', 'standard_content', 'preparation_type', 'export')
(483396, 455, 'Compound', 748, '14649', 'Hibiscus tea', None, None, '263', 'Theobromine', Decimal('0E-9'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 14, 28), datetime.datetime(2019, 12, 11, 21, 0, 10), None, None, Decimal('0E-9'), 'other', 0)
(483421, 574, 'Compound', 748, '14649', 'Hibiscus tea', None, None, '415', 'Vitamin B-6', Decimal('0E-9'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 14, 29), datetime.datetime(2019, 12, 11, 21, 0, 10), None, None, Decimal('0E-9'), 'other', 0)
(483424, 710, 'Compound', 748, '14649', 'Hibiscus tea', None, None, '421', 'Choline, total', Decimal('0.400000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 14, 29), datetime.datetime(2019, 12, 11, 21, 0, 10), None, None, Decimal('0.400000000'), 'other', 0)
(483420, 1014, 'Compound', 748, '14649', 'Hibiscus tea', None, None, '406', 'Niacin', Decimal('0E-9'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 14, 29), datetime.datetime(2019, 12, 11, 21, 0, 10), None, None, Decimal('0E-9'), 'other', 0)
(483395, 2100, 'Compound', 748, '14649', 'Hibiscus tea', None, None, '262', 'Caffeine', Decimal('0E-9'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 14, 28), datetime.datetime(2019, 12, 11, 21, 0, 10), None, None, Decimal('0E-9'), 'other', 0)
(483437, 3011, 'Compound', 748, '14649', 'Hibiscus tea', None, None, '611', '12:0', Decimal('8.000000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 14, 29), datetime.datetime(2019, 12, 11, 21, 0, 10), None, None, Decimal('8.000000000'), 'other', 0)
(483398, 3514, 'Compound', 748, '14649', 'Hibiscus tea', None, None, '301', 'Calcium, Ca', Decimal('1.000000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 14, 28), datetime.datetime(2019, 12, 11, 21, 0, 10), None, None, Decimal('1.000000000'), 'other', 0)
(483400, 3519, 'Compound', 748, '14649', 'Hibiscus tea', None, None, '304', 'Magnesium, Mg', Decimal('1.000000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 14, 28), datetime.datetime(2019, 12, 11, 21, 0, 10), None, None, Decimal('1.000000000'), 'other', 0)
(483401, 3521, 'Compound', 748, '14649', 'Hibiscus tea', None, None, '305', 'Phosphorus, P', Decimal('3.000000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 14, 28), datetime.datetime(2019, 12, 11, 21, 0, 10), None, None, Decimal('3.000000000'), 'other', 0)
(483402, 3522, 'Compound', 748, '14649', 'Hibiscus tea', None, None, '306', 'Potassium, K', Decimal('9.000000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 14, 28), datetime.datetime(2019, 12, 11, 21, 0, 10), None, None, Decimal('9.000000000'), 'other', 0)
(483403, 3524, 'Compound', 748, '14649', 'Hibiscus tea', None, None, '307', 'Sodium, Na', Decimal('3.000000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 14, 28), datetime.datetime(2019, 12, 11, 21, 0, 10), None, None, Decimal('3.000000000'), 'other', 0)
(483405, 3583, 'Compound', 748, '14649', 'Hibiscus tea', None, None, '312', 'Copper, Cu', Decimal('0.073000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 14, 28), datetime.datetime(2019, 12, 11, 21, 0, 10), None, None, Decimal('0.073000000'), 'other', 0)
