('id', 'source_id', 'source_type', 'food_id', 'orig_food_id', 'orig_food_common_name', 'orig_food_scientific_name', 'orig_food_part', 'orig_source_id', 'orig_source_name', 'orig_content', 'orig_min', 'orig_max', 'orig_unit', 'orig_citation', 'citation', 'citation_type', 'creator_id', 'updater_id', 'created_at', 'updated_at', 'orig_method', 'orig_unit_expression', 'standard_content', 'preparation_type', 'export')
(240891, 455, 'Compound', 68, '02043', 'Spices, turmeric, ground', None, None, '263', 'Theobromine', Decimal('0E-9'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 11), datetime.datetime(2019, 12, 11, 20, 37, 16), None, None, Decimal('0E-9'), 'dried or powder', 0)
(240921, 574, 'Compound', 68, '02043', 'Spices, turmeric, ground', None, None, '415', 'Vitamin B-6', Decimal('1.800000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 11), datetime.datetime(2019, 12, 11, 20, 37, 16), None, None, Decimal('1.800000000'), 'dried or powder', 0)
(240924, 710, 'Compound', 68, '02043', 'Spices, turmeric, ground', None, None, '421', 'Choline, total', Decimal('49.200000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 12), datetime.datetime(2019, 12, 11, 20, 37, 16), None, None, Decimal('49.200000000'), 'dried or powder', 0)
(240920, 1014, 'Compound', 68, '02043', 'Spices, turmeric, ground', None, None, '406', 'Niacin', Decimal('5.140000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 11), datetime.datetime(2019, 12, 11, 20, 37, 16), None, None, Decimal('5.140000000'), 'dried or powder', 0)
(696790, 1014, 'Compound', 68, '331', 'Indian Saffron', 'Curcuma longa L. [Zingiberaceae]', 'Plant', 'NIACIN', 'NIACIN', None, None, None, None, None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 57, 19), datetime.datetime(2018, 6, 24, 21, 44, 44), None, None, None, 'other', 1)
(696791, 1014, 'Compound', 68, '331', 'Indian Saffron', 'Curcuma longa L. [Zingiberaceae]', 'Rhizome', 'NIACIN', 'NIACIN', Decimal('3.350000000'), Decimal('0.500000000'), Decimal('6.200000000'), 'mg/100g', None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 57, 19), datetime.datetime(2018, 6, 24, 21, 44, 45), None, None, Decimal('3.350000000'), 'other', 1)
(1450568, 1977, 'Compound', 68, None, None, None, None, None, None, None, None, None, None, None, 'MANUAL', 'UNKNOWN', None, None, datetime.datetime(2015, 5, 7, 21, 26, 48), datetime.datetime(2015, 5, 7, 21, 26, 48), None, None, None, None, 1)
(240890, 2100, 'Compound', 68, '02043', 'Spices, turmeric, ground', None, None, '262', 'Caffeine', Decimal('0E-9'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 11), datetime.datetime(2019, 12, 11, 20, 37, 16), None, None, Decimal('0E-9'), 'dried or powder', 0)
(240939, 3011, 'Compound', 68, '02043', 'Spices, turmeric, ground', None, None, '611', '12:0', Decimal('548.000000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 12), datetime.datetime(2019, 12, 11, 20, 37, 16), None, None, Decimal('548.000000000'), 'dried or powder', 0)
(240894, 3514, 'Compound', 68, '02043', 'Spices, turmeric, ground', None, None, '301', 'Calcium, Ca', Decimal('183.000000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 11), datetime.datetime(2019, 12, 11, 20, 37, 16), None, None, Decimal('183.000000000'), 'dried or powder', 0)
(696806, 3514, 'Compound', 68, '331', 'Indian Saffron', 'Curcuma longa L. [Zingiberaceae]', 'Plant', 'CALCIUM', 'CALCIUM', None, None, None, None, None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 57, 19), datetime.datetime(2018, 6, 24, 21, 44, 48), None, None, None, 'other', 1)
(696807, 3514, 'Compound', 68, '331', 'Indian Saffron', 'Curcuma longa L. [Zingiberaceae]', 'Rhizome', 'CALCIUM', 'CALCIUM', Decimal('158.400000000'), Decimal('27.000000000'), Decimal('289.800000000'), 'mg/100g', None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 57, 19), datetime.datetime(2018, 6, 24, 21, 44, 49), None, None, Decimal('158.400000000'), 'other', 1)
(240896, 3519, 'Compound', 68, '02043', 'Spices, turmeric, ground', None, None, '304', 'Magnesium, Mg', Decimal('193.000000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 11), datetime.datetime(2019, 12, 11, 20, 37, 16), None, None, Decimal('193.000000000'), 'dried or powder', 0)
(696810, 3519, 'Compound', 68, '331', 'Indian Saffron', 'Curcuma longa L. [Zingiberaceae]', 'Plant', 'MAGNESIUM', 'MAGNESIUM', None, None, None, None, None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 57, 19), datetime.datetime(2018, 6, 24, 21, 44, 49), None, None, None, 'other', 1)
(240897, 3521, 'Compound', 68, '02043', 'Spices, turmeric, ground', None, None, '305', 'Phosphorus, P', Decimal('268.000000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 11), datetime.datetime(2019, 12, 11, 20, 37, 16), None, None, Decimal('268.000000000'), 'dried or powder', 0)
(696811, 3521, 'Compound', 68, '331', 'Indian Saffron', 'Curcuma longa L. [Zingiberaceae]', 'Plant', 'PHOSPHORUS', 'PHOSPHORUS', None, None, None, None, None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 57, 19), datetime.datetime(2018, 6, 24, 21, 44, 50), None, None, None, 'other', 1)
(696812, 3521, 'Compound', 68, '331', 'Indian Saffron', 'Curcuma longa L. [Zingiberaceae]', 'Rhizome', 'PHOSPHORUS', 'PHOSPHORUS', Decimal('347.350000000'), Decimal('64.000000000'), Decimal('630.700000000'), 'mg/100g', None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 57, 19), datetime.datetime(2018, 6, 24, 21, 44, 50), None, None, Decimal('347.350000000'), 'other', 1)
(240898, 3522, 'Compound', 68, '02043', 'Spices, turmeric, ground', None, None, '306', 'Potassium, K', Decimal('2525.000000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 11), datetime.datetime(2019, 12, 11, 20, 37, 16), None, None, Decimal('2525.000000000'), 'dried or powder', 0)
(696813, 3522, 'Compound', 68, '331', 'Indian Saffron', 'Curcuma longa L. [Zingiberaceae]', 'Plant', 'POTASSIUM', 'POTASSIUM', None, None, None, None, None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 57, 19), datetime.datetime(2018, 6, 24, 21, 44, 50), None, None, None, 'other', 1)
(696814, 3522, 'Compound', 68, '331', 'Indian Saffron', 'Curcuma longa L. [Zingiberaceae]', 'Rhizome', 'POTASSIUM', 'POTASSIUM', Decimal('2307.050000000'), Decimal('487.000000000'), Decimal('4127.100000000'), 'mg/100g', None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 57, 19), datetime.datetime(2018, 6, 24, 21, 44, 51), None, None, Decimal('2307.050000000'), 'other', 1)
(240899, 3524, 'Compound', 68, '02043', 'Spices, turmeric, ground', None, None, '307', 'Sodium, Na', Decimal('38.000000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 11), datetime.datetime(2019, 12, 11, 20, 37, 16), None, None, Decimal('38.000000000'), 'dried or powder', 0)
(696815, 3524, 'Compound', 68, '331', 'Indian Saffron', 'Curcuma longa L. [Zingiberaceae]', 'Plant', 'SODIUM', 'SODIUM', None, None, None, None, None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 57, 19), datetime.datetime(2018, 6, 24, 21, 44, 51), None, None, None, 'other', 1)
(696816, 3524, 'Compound', 68, '331', 'Indian Saffron', 'Curcuma longa L. [Zingiberaceae]', 'Rhizome', 'SODIUM', 'SODIUM', Decimal('216.000000000'), Decimal('3.000000000'), Decimal('429.000000000'), 'mg/100g', None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 57, 19), datetime.datetime(2018, 6, 24, 21, 44, 51), None, None, Decimal('216.000000000'), 'other', 1)
(240901, 3583, 'Compound', 68, '02043', 'Spices, turmeric, ground', None, None, '312', 'Copper, Cu', Decimal('0.603000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 11), datetime.datetime(2019, 12, 11, 20, 37, 16), None, None, Decimal('0.603000000'), 'dried or powder', 0)
(696820, 3583, 'Compound', 68, '331', 'Indian Saffron', 'Curcuma longa L. [Zingiberaceae]', 'Rhizome', 'COPPER', 'COPPER', Decimal('1.150000000'), Decimal('0.600000000'), Decimal('1.700000000'), 'mg/100g', None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 57, 19), datetime.datetime(2018, 6, 24, 21, 44, 52), None, None, Decimal('1.150000000'), 'other', 1)
(240892, 3716, 'Compound', 68, '02043', 'Spices, turmeric, ground', None, None, '269', 'Sugars, total', Decimal('3210.000000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 11), datetime.datetime(2019, 12, 11, 20, 37, 16), None, None, Decimal('3210.000000000'), 'dried or powder', 0)
(696828, 3716, 'Compound', 68, '331', 'Indian Saffron', 'Curcuma longa L. [Zingiberaceae]', 'Plant', 'SUGARS', 'SUGARS', None, None, None, None, None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 57, 20), datetime.datetime(2018, 6, 24, 21, 44, 54), None, None, None, 'other', 1)
(240900, 3730, 'Compound', 68, '02043', 'Spices, turmeric, ground', None, None, '309', 'Zinc, Zn', Decimal('4.350000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 11), datetime.datetime(2019, 12, 11, 20, 37, 16), None, None, Decimal('4.350000000'), 'dried or powder', 0)
(696829, 3730, 'Compound', 68, '331', 'Indian Saffron', 'Curcuma longa L. [Zingiberaceae]', 'Plant', 'ZINC', 'ZINC', None, None, None, None, None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 57, 20), datetime.datetime(2018, 6, 24, 21, 44, 54), None, None, None, 'other', 1)
(696830, 3730, 'Compound', 68, '331', 'Indian Saffron', 'Curcuma longa L. [Zingiberaceae]', 'Rhizome', 'ZINC', 'ZINC', Decimal('2.200000000'), Decimal('2.200000000'), Decimal('2.200000000'), 'mg/100g', None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 57, 20), datetime.datetime(2018, 6, 24, 21, 44, 55), None, None, Decimal('2.200000000'), 'other', 1)
(240918, 8425, 'Compound', 68, '02043', 'Spices, turmeric, ground', None, None, '404', 'Thiamin', Decimal('0.152000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 11), datetime.datetime(2019, 12, 11, 20, 37, 16), None, None, Decimal('0.152000000'), 'dried or powder', 0)
(240930, 9021, 'Compound', 68, '02043', 'Spices, turmeric, ground', None, None, '454', 'Betaine', Decimal('9.700000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 12), datetime.datetime(2019, 12, 11, 20, 37, 16), None, None, Decimal('9.700000000'), 'dried or powder', 0)
