source_id;orig_source_name;food_id;orig_food_common_name;orig_content;orig_min;orig_max;orig_unit;standard_content
574;Vitamin B-6;58;Coffee, dry, powder, with whitener, reduced calorie;0.0;None;None;mg/100g;0.0
710;Choline, total;58;Coffee, dry, powder, with whitener, reduced calorie;0.7;None;None;mg/100g;0.7
1014;Niacin;58;Coffee, dry, powder, with whitener, reduced calorie;0.188;None;None;mg/100g;0.188
1223;None;58;None;None;None;None;None;None
2100;Caffeine;58;Coffee, dry, powder, with whitener, reduced calorie;21.0;None;None;mg/100g;21.0
3514;Calcium, Ca;58;Coffee, dry, powder, with whitener, reduced calorie;18.0;None;None;mg/100g;18.0
3519;Magnesium, Mg;58;Coffee, dry, powder, with whitener, reduced calorie;2.0;None;None;mg/100g;2.0
3521;Phosphorus, P;58;Coffee, dry, powder, with whitener, reduced calorie;135.0;None;None;mg/100g;135.0
3522;Potassium, K;58;Coffee, dry, powder, with whitener, reduced calorie;909.0;None;None;mg/100g;909.0
3524;Sodium, Na;58;Coffee, dry, powder, with whitener, reduced calorie;819.0;None;None;mg/100g;819.0
3583;Copper, Cu;58;Coffee, dry, powder, with whitener, reduced calorie;0.011;None;None;mg/100g;0.011
3716;Sugars, total;58;Coffee, dry, powder, with whitener, reduced calorie;59000.0;None;None;mg/100g;59000.0
3730;Zinc, Zn;58;Coffee, dry, powder, with whitener, reduced calorie;0.02;None;None;mg/100g;0.02
8425;Thiamin;58;Coffee, dry, powder, with whitener, reduced calorie;0.0;None;None;mg/100g;0.0
12163;Riboflavin;58;Coffee, dry, powder, with whitener, reduced calorie;0.0;None;None;mg/100g;0.0
13393;Water;58;Coffee, dry, powder, with whitener, reduced calorie;6160.0;None;None;mg/100g;6160.0
13403;Selenium, Se;58;Coffee, dry, powder, with whitener, reduced calorie;0.0009;None;None;mg/100g;0.0009
14507;Folate, total;58;Coffee, dry, powder, with whitener, reduced calorie;0.001;None;None;mg/100g;0.001
16258;Iron, Fe;58;Coffee, dry, powder, with whitener, reduced calorie;0.06;None;None;mg/100g;0.06
23049;None;58;None;None;None;None;None;None
23250;None;58;None;None;None;None;None;None
