source_id;orig_source_name;food_id;orig_food_common_name;orig_content;orig_min;orig_max;orig_unit;standard_content
574;Vitamin B-6;206;Spices, ginger, ground;0.626;None;None;mg/100g;0.626
710;Choline, total;206;Spices, ginger, ground;41.2;None;None;mg/100g;41.2
1014;Niacin;206;Spices, ginger, ground;9.62;None;None;mg/100g;9.62
1223;None;206;None;None;None;None;None;None
2100;Caffeine;206;Spices, ginger, ground;0.0;None;None;mg/100g;0.0
3514;Calcium, Ca;206;Spices, ginger, ground;114.0;None;None;mg/100g;114.0
3519;Magnesium, Mg;206;Spices, ginger, ground;214.0;None;None;mg/100g;214.0
3521;Phosphorus, P;206;Spices, ginger, ground;168.0;None;None;mg/100g;168.0
3522;Potassium, K;206;Spices, ginger, ground;1320.0;None;None;mg/100g;1320.0
3524;Sodium, Na;206;Spices, ginger, ground;27.0;None;None;mg/100g;27.0
3583;Copper, Cu;206;Spices, ginger, ground;0.48;None;None;mg/100g;0.48
3716;Sugars, total;206;Spices, ginger, ground;3390.0;None;None;mg/100g;3390.0
3730;Zinc, Zn;206;Spices, ginger, ground;3.64;None;None;mg/100g;3.64
8425;Thiamin;206;Spices, ginger, ground;0.046;None;None;mg/100g;0.046
12163;Riboflavin;206;Spices, ginger, ground;0.17;None;None;mg/100g;0.17
13393;Water;206;Spices, ginger, ground;9940.0;None;None;mg/100g;9940.0
13403;Selenium, Se;206;Spices, ginger, ground;0.0558;None;None;mg/100g;0.0558
14507;Folate, total;206;Spices, ginger, ground;0.013;None;None;mg/100g;0.013
16258;Iron, Fe;206;Spices, ginger, ground;19.8;None;None;mg/100g;19.8
23049;None;206;None;None;None;None;None;None
23250;None;206;None;None;None;None;None;None
