source_id;orig_source_name;food_id;orig_food_common_name;orig_content;orig_min;orig_max;orig_unit;standard_content
574;Vitamin B-6;372;Nuts, ginkgo nuts, dried;0.641;None;None;mg/100g;0.641
710;None;372;None;None;None;None;None;None
1014;Niacin;372;Nuts, ginkgo nuts, dried;11.732;None;None;mg/100g;11.732
1223;None;372;None;None;None;None;None;None
2100;None;372;None;None;None;None;None;None
3514;Calcium, Ca;372;Nuts, ginkgo nuts, dried;20.0;None;None;mg/100g;20.0
3519;Magnesium, Mg;372;Nuts, ginkgo nuts, dried;53.0;None;None;mg/100g;53.0
3521;Phosphorus, P;372;Nuts, ginkgo nuts, dried;269.0;None;None;mg/100g;269.0
3522;Potassium, K;372;Nuts, ginkgo nuts, dried;998.0;None;None;mg/100g;998.0
3524;Sodium, Na;372;Nuts, ginkgo nuts, dried;13.0;None;None;mg/100g;13.0
3583;Copper, Cu;372;Nuts, ginkgo nuts, dried;0.536;None;None;mg/100g;0.536
3716;None;372;None;None;None;None;None;None
3730;Zinc, Zn;372;Nuts, ginkgo nuts, dried;0.67;None;None;mg/100g;0.67
8425;Thiamin;372;Nuts, ginkgo nuts, dried;0.43;None;None;mg/100g;0.43
12163;Riboflavin;372;Nuts, ginkgo nuts, dried;0.176;None;None;mg/100g;0.176
13393;Water;372;Nuts, ginkgo nuts, dried;12400.0;None;None;mg/100g;12400.0
13403;None;372;None;None;None;None;None;None
14507;Folate, total;372;Nuts, ginkgo nuts, dried;0.106;None;None;mg/100g;0.106
16258;Iron, Fe;372;Nuts, ginkgo nuts, dried;1.6;None;None;mg/100g;1.6
23049;None;372;None;None;None;None;None;None
23250;None;372;None;None;None;None;None;None
