source_id;orig_source_name;food_id;orig_food_common_name;orig_content;orig_min;orig_max;orig_unit;standard_content
574;Vitamin B-6;748;Hibiscus tea;0.0;None;None;mg/100g;0.0
710;Choline, total;748;Hibiscus tea;0.4;None;None;mg/100g;0.4
1014;Niacin;748;Hibiscus tea;0.0;None;None;mg/100g;0.0
1223;None;748;None;None;None;None;None;None
2100;Caffeine;748;Hibiscus tea;0.0;None;None;mg/100g;0.0
3514;Calcium, Ca;748;Hibiscus tea;1.0;None;None;mg/100g;1.0
3519;Magnesium, Mg;748;Hibiscus tea;1.0;None;None;mg/100g;1.0
3521;Phosphorus, P;748;Hibiscus tea;3.0;None;None;mg/100g;3.0
3522;Potassium, K;748;Hibiscus tea;9.0;None;None;mg/100g;9.0
3524;Sodium, Na;748;Hibiscus tea;3.0;None;None;mg/100g;3.0
3583;Copper, Cu;748;Hibiscus tea;0.073;None;None;mg/100g;0.073
3716;Sugars, total;748;Hibiscus tea;6000.0;None;None;mg/100g;6000.0
3730;Zinc, Zn;748;Hibiscus tea;0.12;None;None;mg/100g;0.12
8425;Thiamin;748;Hibiscus tea;1.279;None;None;mg/100g;1.279
12163;Riboflavin;748;Hibiscus tea;0.099;None;None;mg/100g;0.099
13393;Water;748;Hibiscus tea;89630.0;None;None;mg/100g;89630.0
13403;Selenium, Se;748;Hibiscus tea;0.0;None;None;mg/100g;0.0
14507;Folate, total;748;Hibiscus tea;0.001;None;None;mg/100g;0.001
16258;Iron, Fe;748;Hibiscus tea;8.64;None;None;mg/100g;8.64
23049;None;748;None;None;None;None;None;None
23250;None;748;None;None;None;None;None;None
