source_id;orig_source_name;food_id;orig_food_common_name;orig_content;orig_min;orig_max;orig_unit;standard_content
574;Vitamin B-6;40;Spices, chili powder;2.094;None;None;mg/100g;2.094
710;Choline, total;40;Spices, chili powder;66.5;None;None;mg/100g;66.5
1014;Niacin;40;Spices, chili powder;11.6;None;None;mg/100g;11.6
1223;None;40;None;None;None;None;None;None
2100;Caffeine;40;Spices, chili powder;0.0;None;None;mg/100g;0.0
3514;Calcium, Ca;40;Spices, chili powder;330.0;None;None;mg/100g;330.0
3519;Magnesium, Mg;40;Spices, chili powder;149.0;None;None;mg/100g;149.0
3521;Phosphorus, P;40;Spices, chili powder;300.0;None;None;mg/100g;300.0
3522;Potassium, K;40;Spices, chili powder;1950.0;None;None;mg/100g;1950.0
3524;Sodium, Na;40;Spices, chili powder;1640.0;None;None;mg/100g;1640.0
3583;Copper, Cu;40;Spices, chili powder;1.0;None;None;mg/100g;1.0
3716;Sugars, total;40;Spices, chili powder;7190.0;None;None;mg/100g;7190.0
3730;Zinc, Zn;40;Spices, chili powder;4.3;None;None;mg/100g;4.3
8425;Thiamin;40;Spices, chili powder;0.25;None;None;mg/100g;0.25
12163;Riboflavin;40;Spices, chili powder;0.94;None;None;mg/100g;0.94
13393;Water;40;Spices, chili powder;10750.0;None;None;mg/100g;10750.0
13403;Selenium, Se;40;Spices, chili powder;0.0204;None;None;mg/100g;0.0204
14507;Folate, total;40;Spices, chili powder;0.028;None;None;mg/100g;0.028
16258;Iron, Fe;40;Spices, chili powder;17.3;None;None;mg/100g;17.3
23049;None;40;None;None;None;None;None;None
23250;None;40;None;None;None;None;None;None
