source_id;orig_source_name;food_id;orig_food_common_name;orig_content;orig_min;orig_max;orig_unit;standard_content
574;Vitamin B6 (as pyridoxinehydrochloride), total;586;Cinnamon stick;0.158;None;None;mg/100g;0.158
710;None;586;None;None;None;None;None;None
1014;Niacin, total;586;Cinnamon stick;1.064;None;None;NE;1.064
1223;None;586;None;None;None;None;None;None
2100;None;586;None;None;None;None;None;None
3514;Calcium (Ca);586;Cinnamon stick;1002.0;None;None;mg/100g;1002.0
3519;Magnesium (Mg);586;Cinnamon stick;60.0;None;None;mg/100g;60.0
3521;Phosphorus (P);586;Cinnamon stick;64.0;None;None;mg/100g;64.0
3522;Potassium (K);586;Cinnamon stick;431.0;None;None;mg/100g;431.0
3524;Sodium (Na);586;Cinnamon stick;10.0;None;None;mg/100g;10.0
3583;Copper (Cu);586;Cinnamon stick;0.339;None;None;mg/100g;0.339
3716;Sugars, total;586;Cinnamon stick;0.0;None;None;mg/100g;0.0
3730;Zinc (Zn);586;Cinnamon stick;1.83;None;None;mg/100g;1.83
8425;None;586;Cinnamon stick;0.022;None;None;mg/100 g;0.022
12163;Vitamin B2 (riboflavin);586;Cinnamon stick;0.041;None;None;mg/100g;0.041
13393;Moisture;586;Cinnamon stick;10600.0;None;None;mg/100g;10600.0
13403;Selenium (Se);586;Cinnamon stick;0.0031;None;None;mg/100g;0.0031
14507;Folates;586;Cinnamon stick;0.006;None;None;mg/100g;0.006
16258;Iron (Fe);586;Cinnamon stick;8.32;None;None;mg/100g;8.32
23049;None;586;Cinnamon stick;0.0;None;None;mg/100 g;0.0
23250;None;586;None;None;None;None;None;None
