source_id;orig_source_name;food_id;orig_food_common_name;orig_content;orig_min;orig_max;orig_unit;standard_content
574;Vitamin B-6;183;Spices, thyme, dried;0.55;None;None;mg/100g;0.55
710;Choline, total;183;Spices, thyme, dried;43.6;None;None;mg/100g;43.6
1014;Niacin;183;Spices, thyme, dried;4.94;None;None;mg/100g;4.94
1223;None;183;None;None;None;None;None;None
2100;Caffeine;183;Spices, thyme, dried;0.0;None;None;mg/100g;0.0
3514;Calcium, Ca;183;Spices, thyme, dried;1890.0;None;None;mg/100g;1890.0
3519;Magnesium, Mg;183;Spices, thyme, dried;220.0;None;None;mg/100g;220.0
3521;Phosphorus, P;183;Spices, thyme, dried;201.0;None;None;mg/100g;201.0
3522;Potassium, K;183;Spices, thyme, dried;814.0;None;None;mg/100g;814.0
3524;Sodium, Na;183;Spices, thyme, dried;55.0;None;None;mg/100g;55.0
3583;Copper, Cu;183;Spices, thyme, dried;0.86;None;None;mg/100g;0.86
3716;Sugars, total;183;Spices, thyme, dried;1710.0;None;None;mg/100g;1710.0
3730;Zinc, Zn;183;Spices, thyme, dried;6.18;None;None;mg/100g;6.18
8425;Thiamin;183;Spices, thyme, dried;0.513;None;None;mg/100g;0.513
12163;Riboflavin;183;Spices, thyme, dried;0.399;None;None;mg/100g;0.399
13393;Water;183;Spices, thyme, dried;7790.0;None;None;mg/100g;7790.0
13403;Selenium, Se;183;Spices, thyme, dried;0.0046;None;None;mg/100g;0.0046
14507;Folate, total;183;Spices, thyme, dried;0.274;None;None;mg/100g;0.274
16258;Iron, Fe;183;Spices, thyme, dried;123.6;None;None;mg/100g;123.6
23049;None;183;None;None;None;None;None;None
23250;None;183;None;None;None;None;None;None
