source_id;orig_source_name;food_id;orig_food_common_name;orig_content;orig_min;orig_max;orig_unit;standard_content
574;Vitamin B6 (as pyridoxinehydrochloride), total;940;Tea, leaves;0.3;None;None;mg/100g;0.3
710;None;940;None;None;None;None;None;None
1014;Niacin, total;940;Tea, leaves;14.22;None;None;NE;14.22
1223;None;940;None;None;None;None;None;None
2100;None;940;None;None;None;None;None;None
3514;Calcium (Ca);940;Tea, leaves;430.0;None;None;mg/100g;430.0
3519;Magnesium (Mg);940;Tea, leaves;250.0;None;None;mg/100g;250.0
3521;Phosphorus (P);940;Tea, leaves;630.0;None;None;mg/100g;630.0
3522;Potassium (K);940;Tea, leaves;2160.0;None;None;mg/100g;2160.0
3524;Sodium (Na);940;Tea, leaves;45.0;None;None;mg/100g;45.0
3583;Copper (Cu);940;Tea, leaves;2.5;None;None;mg/100g;2.5
3716;Sugars, total;940;Tea, leaves;3000.0;None;None;mg/100g;3000.0
3730;Zinc (Zn);940;Tea, leaves;2.9;None;None;mg/100g;2.9
8425;None;940;Tea, leaves;0.14;None;None;mg/100 g;0.14
12163;Vitamin B2 (riboflavin);940;Tea, leaves;0.95;None;None;mg/100g;0.95
13393;Moisture;940;Tea, leaves;9300.0;None;None;mg/100g;9300.0
13403;Selenium (Se);940;Tea, leaves;0.0;None;None;mg/100g;0.0
14507;Folates;940;Tea, leaves;0.0;None;None;mg/100g;0.0
16258;Iron (Fe);940;Tea, leaves;18.0;None;None;mg/100g;18.0
23049;None;940;Tea, leaves;0.0;None;None;mg/100 g;0.0
23250;None;940;None;None;None;None;None;None
