source_id;orig_source_name;food_id;orig_food_common_name;orig_content;orig_min;orig_max;orig_unit;standard_content
574;Vitamin B-6;384;Drumstick leaves, raw;1.2;None;None;mg/100g;1.2
710;None;384;None;None;None;None;None;None
1014;Niacin;384;Drumstick leaves, raw;2.22;None;None;mg/100g;2.22
1223;None;384;None;None;None;None;None;None
2100;None;384;None;None;None;None;None;None
3514;Calcium, Ca;384;Drumstick leaves, raw;185.0;None;None;mg/100g;185.0
3519;Magnesium, Mg;384;Drumstick leaves, raw;147.0;None;None;mg/100g;147.0
3521;Phosphorus, P;384;Drumstick leaves, raw;112.0;None;None;mg/100g;112.0
3522;Potassium, K;384;Drumstick leaves, raw;337.0;None;None;mg/100g;337.0
3524;Sodium, Na;384;Drumstick leaves, raw;9.0;None;None;mg/100g;9.0
3583;Copper, Cu;384;Drumstick leaves, raw;0.105;None;None;mg/100g;0.105
3716;None;384;None;None;None;None;None;None
3730;Zinc, Zn;384;Drumstick leaves, raw;0.6;None;None;mg/100g;0.6
8425;Thiamin;384;Drumstick leaves, raw;0.257;None;None;mg/100g;0.257
12163;Riboflavin;384;Drumstick leaves, raw;0.66;None;None;mg/100g;0.66
13393;Water;384;Drumstick leaves, raw;78660.0;None;None;mg/100g;78660.0
13403;Selenium, Se;384;Drumstick leaves, raw;0.0009;None;None;mg/100g;0.0009
14507;Folate, total;384;Drumstick leaves, raw;0.04;None;None;mg/100g;0.04
16258;Iron, Fe;384;Drumstick leaves, raw;4.0;None;None;mg/100g;4.0
23049;None;384;None;None;None;None;None;None
23250;None;384;None;None;None;None;None;None
