source_id;orig_source_name;food_id;orig_food_common_name;orig_content;orig_min;orig_max;orig_unit;standard_content
574;Vitamin B-6;159;Spices, rosemary, dried;1.74;None;None;mg/100g;1.74
710;None;159;None;None;None;None;None;None
1014;Niacin;159;Spices, rosemary, dried;1.0;None;None;mg/100g;1.0
1223;None;159;None;None;None;None;None;None
2100;None;159;None;None;None;None;None;None
3514;Calcium, Ca;159;Spices, rosemary, dried;1280.0;None;None;mg/100g;1280.0
3519;Magnesium, Mg;159;Spices, rosemary, dried;220.0;None;None;mg/100g;220.0
3521;Phosphorus, P;159;Spices, rosemary, dried;70.0;None;None;mg/100g;70.0
3522;Potassium, K;159;Spices, rosemary, dried;955.0;None;None;mg/100g;955.0
3524;Sodium, Na;159;Spices, rosemary, dried;50.0;None;None;mg/100g;50.0
3583;Copper, Cu;159;Spices, rosemary, dried;0.55;None;None;mg/100g;0.55
3716;None;159;None;None;None;None;None;None
3730;Zinc, Zn;159;Spices, rosemary, dried;3.23;None;None;mg/100g;3.23
8425;Thiamin;159;Spices, rosemary, dried;0.514;None;None;mg/100g;0.514
12163;Riboflavin;159;Spices, rosemary, dried;0.428;None;None;mg/100g;0.428
13393;Water;159;Spices, rosemary, dried;9310.0;None;None;mg/100g;9310.0
13403;Selenium, Se;159;Spices, rosemary, dried;0.0046;None;None;mg/100g;0.0046
14507;Folate, total;159;Spices, rosemary, dried;0.307;None;None;mg/100g;0.307
16258;Iron, Fe;159;Spices, rosemary, dried;29.25;None;None;mg/100g;29.25
23049;None;159;None;None;None;None;None;None
23250;None;159;None;None;None;None;None;None
