source_id;orig_source_name;food_id;orig_food_common_name;orig_content;orig_min;orig_max;orig_unit;standard_content
574;Vitamin B-6;68;Spices, turmeric, ground;1.8;None;None;mg/100g;1.8
710;Choline, total;68;Spices, turmeric, ground;49.2;None;None;mg/100g;49.2
1014;Niacin;68;Spices, turmeric, ground;5.14;None;None;mg/100g;5.14
1223;None;68;None;None;None;None;None;None
2100;Caffeine;68;Spices, turmeric, ground;0.0;None;None;mg/100g;0.0
3514;Calcium, Ca;68;Spices, turmeric, ground;183.0;None;None;mg/100g;183.0
3519;Magnesium, Mg;68;Spices, turmeric, ground;193.0;None;None;mg/100g;193.0
3521;Phosphorus, P;68;Spices, turmeric, ground;268.0;None;None;mg/100g;268.0
3522;Potassium, K;68;Spices, turmeric, ground;2525.0;None;None;mg/100g;2525.0
3524;Sodium, Na;68;Spices, turmeric, ground;38.0;None;None;mg/100g;38.0
3583;Copper, Cu;68;Spices, turmeric, ground;0.603;None;None;mg/100g;0.603
3716;Sugars, total;68;Spices, turmeric, ground;3210.0;None;None;mg/100g;3210.0
3730;Zinc, Zn;68;Spices, turmeric, ground;4.35;None;None;mg/100g;4.35
8425;Thiamin;68;Spices, turmeric, ground;0.152;None;None;mg/100g;0.152
12163;Riboflavin;68;Spices, turmeric, ground;0.233;None;None;mg/100g;0.233
13393;Water;68;Spices, turmeric, ground;11360.0;None;None;mg/100g;11360.0
13403;Selenium, Se;68;Spices, turmeric, ground;0.0045;None;None;mg/100g;0.0045
14507;Folate, total;68;Spices, turmeric, ground;0.039;None;None;mg/100g;0.039
16258;Iron, Fe;68;Spices, turmeric, ground;41.42;None;None;mg/100g;41.42
23049;None;68;None;None;None;None;None;None
23250;None;68;None;None;None;None;None;None
