source_id;orig_source_name;food_id;orig_food_common_name;orig_content;orig_min;orig_max;orig_unit;standard_content
453;None;165;None;None;None;None;None;None
455;Theobromine;165;Spices, sage, ground;0.0;None;None;mg/100g;0.0
571;None;165;None;None;None;None;None;None
572;None;165;None;None;None;None;None;None
1977;None;165;None;None;None;None;None;None
2251;None;165;None;None;None;None;None;None
3011;12:0;165;Spices, sage, ground;300.0;None;None;mg/100g;300.0
3192;None;165;None;None;None;None;None;None
7058;None;165;None;None;None;None;None;None
9021;None;165;None;None;None;None;None;None
11798;None;165;None;None;None;None;None;None
11817;None;165;None;None;None;None;None;None
12295;None;165;None;None;None;None;None;None
12741;None;165;None;None;None;None;None;None
13231;None;165;None;None;None;None;None;None
13570;LIMONENE;165;Sage;120.95;3.9;238.0;mg/100g;120.95
14800;None;165;None;None;None;None;None;None
16599;None;165;None;None;None;None;None;None
23102;None;165;None;None;None;None;None;None
23288;None;165;None;None;None;None;None;None
24066;None;165;None;None;None;None;None;None
30890;None;165;None;None;None;None;None;None
