source_id;orig_source_name;food_id;orig_food_common_name;orig_content;orig_min;orig_max;orig_unit;standard_content
453;None;68;None;None;None;None;None;None
455;Theobromine;68;Spices, turmeric, ground;0.0;None;None;mg/100g;0.0
571;None;68;None;None;None;None;None;None
572;None;68;None;None;None;None;None;None
1977;None;68;None;None;None;None;None;None
2251;None;68;None;None;None;None;None;None
3011;12:0;68;Spices, turmeric, ground;548.0;None;None;mg/100g;548.0
3192;None;68;None;None;None;None;None;None
7058;None;68;None;None;None;None;None;None
9021;Betaine;68;Spices, turmeric, ground;9.7;None;None;mg/100g;9.7
11798;None;68;None;None;None;None;None;None
11817;None;68;None;None;None;None;None;None
12295;Curcumin;68;Turmeric, dried;2213.571428571;None;None;mg/100g;2213.571428571
12741;None;68;None;None;None;None;None;None
13231;None;68;None;None;None;None;None;None
13570;None;68;None;None;None;None;None;None
14800;None;68;None;None;None;None;None;None
16599;None;68;None;None;None;None;None;None
23102;None;68;None;None;None;None;None;None
23288;None;68;None;None;None;None;None;None
24066;None;68;None;None;None;None;None;None
30890;None;68;None;None;None;None;None;None
