source_id;orig_source_name;food_id;orig_food_common_name;orig_content;orig_min;orig_max;orig_unit;standard_content
574;Vitamin B6 (as pyridoxinehydrochloride), total;709;Chocolate, milk;0.035;None;None;mg/100g;0.035
710;None;709;None;None;None;None;None;None
1014;Niacin, total;709;Chocolate, milk;1.052;None;None;NE;1.052
1223;None;709;None;None;None;None;None;None
2100;None;709;None;None;None;None;None;None
3514;Calcium (Ca);709;Chocolate, milk;195.0;None;None;mg/100g;195.0
3519;Magnesium (Mg);709;Chocolate, milk;55.0;None;None;mg/100g;55.0
3521;Phosphorus (P);709;Chocolate, milk;240.0;None;None;mg/100g;240.0
3522;Potassium (K);709;Chocolate, milk;442.0;None;None;mg/100g;442.0
3524;Sodium (Na);709;Chocolate, milk;127.0;None;None;mg/100g;127.0
3583;Copper (Cu);709;Chocolate, milk;0.367;None;None;mg/100g;0.367
3716;Sugars, total;709;Chocolate, milk;55000.0;None;None;mg/100g;55000.0
3730;Zinc (Zn);709;Chocolate, milk;1.55;None;None;mg/100g;1.55
8425;None;709;Chocolate, milk;0.085;None;None;mg/100 g;0.085
12163;Vitamin B2 (riboflavin);709;Chocolate, milk;0.4;None;None;mg/100g;0.4
13393;Moisture;709;Chocolate, milk;1300.0;None;None;mg/100g;1300.0
13403;Selenium (Se);709;Chocolate, milk;0.0045;None;None;mg/100g;0.0045
14507;Folates;709;Chocolate, milk;0.007;None;None;mg/100g;0.007
16258;Iron (Fe);709;Chocolate, milk;1.49;None;None;mg/100g;1.49
23049;None;709;Chocolate, milk;0.0;None;None;mg/100 g;0.0
23250;None;709;None;None;None;None;None;None
