source_id;orig_source_name;food_id;orig_food_common_name;orig_content;orig_min;orig_max;orig_unit;standard_content
574;Vitamin B-6;165;Spices, sage, ground;2.69;None;None;mg/100g;2.69
710;Choline, total;165;Spices, sage, ground;43.6;None;None;mg/100g;43.6
1014;Niacin;165;Spices, sage, ground;5.72;None;None;mg/100g;5.72
1223;None;165;None;None;None;None;None;None
2100;Caffeine;165;Spices, sage, ground;0.0;None;None;mg/100g;0.0
3514;Calcium, Ca;165;Spices, sage, ground;1652.0;None;None;mg/100g;1652.0
3519;Magnesium, Mg;165;Spices, sage, ground;428.0;None;None;mg/100g;428.0
3521;Phosphorus, P;165;Spices, sage, ground;91.0;None;None;mg/100g;91.0
3522;Potassium, K;165;Spices, sage, ground;1070.0;None;None;mg/100g;1070.0
3524;Sodium, Na;165;Spices, sage, ground;11.0;None;None;mg/100g;11.0
3583;Copper, Cu;165;Spices, sage, ground;0.757;None;None;mg/100g;0.757
3716;Sugars, total;165;Spices, sage, ground;1710.0;None;None;mg/100g;1710.0
3730;Zinc, Zn;165;Spices, sage, ground;4.7;None;None;mg/100g;4.7
8425;Thiamin;165;Spices, sage, ground;0.754;None;None;mg/100g;0.754
12163;Riboflavin;165;Spices, sage, ground;0.336;None;None;mg/100g;0.336
13393;Water;165;Spices, sage, ground;7960.0;None;None;mg/100g;7960.0
13403;Selenium, Se;165;Spices, sage, ground;0.0037;None;None;mg/100g;0.0037
14507;Folate, total;165;Spices, sage, ground;0.274;None;None;mg/100g;0.274
16258;Iron, Fe;165;Spices, sage, ground;28.12;None;None;mg/100g;28.12
23049;None;165;None;None;None;None;None;None
23250;None;165;None;None;None;None;None;None
