source_id;orig_source_name;food_id;orig_food_common_name;orig_content;orig_min;orig_max;orig_unit;standard_content
574;PYRIDOXINE;187;Wheat;0.78;0.26;1.3;mg/100g;0.78
710;CHOLINE;187;Wheat;116.5;53.0;180.0;mg/100g;116.5
1014;NIACIN;187;Wheat;6.6;1.5;11.7;mg/100g;6.6
1223;None;187;None;None;None;None;None;None
2100;None;187;None;None;None;None;None;None
3514;CALCIUM;187;Wheat;210.0;10.0;410.0;mg/100g;210.0
3519;MAGNESIUM;187;Wheat;201.5;53.0;350.0;mg/100g;201.5
3521;PHOSPHORUS;187;Wheat;380.0;80.0;680.0;mg/100g;380.0
3522;POTASSIUM;187;Wheat;442.0;94.0;790.0;mg/100g;442.0
3524;SODIUM;187;Wheat;110.0;0.0;220.0;mg/100g;110.0
3583;COPPER;187;Wheat;0.89;0.11;1.67;mg/100g;0.89
3716;None;187;None;None;None;None;None;None
3730;ZINC;187;Wheat;1.55;1.2;1.9;mg/100g;1.55
8425;None;187;None;None;None;None;None;None
12163;RIBOFLAVIN;187;Wheat;0.435;0.07;0.8;mg/100g;0.435
13393;WATER;187;Wheat;10950.0;6000.0;15900.0;mg/100g;10950.0
13403;None;187;None;None;None;None;None;None
14507;FOLACIN;187;Wheat;0.045;0.0;0.09;mg/100g;0.045
16258;IRON;187;Wheat;6.5;1.0;12.0;mg/100g;6.5
23049;None;187;None;None;None;None;None;None
23250;None;187;None;None;None;None;None;None
