source_id;orig_source_name;food_id;orig_food_common_name;orig_content;orig_min;orig_max;orig_unit;standard_content
574;Vitamin B-6;569;Mushrooms, maitake, raw;0.056;None;None;mg/100g;0.056
710;Choline, total;569;Mushrooms, maitake, raw;51.1;None;None;mg/100g;51.1
1014;Niacin;569;Mushrooms, maitake, raw;6.585;None;None;mg/100g;6.585
1223;None;569;None;None;None;None;None;None
2100;Caffeine;569;Mushrooms, maitake, raw;0.0;None;None;mg/100g;0.0
3514;Calcium, Ca;569;Mushrooms, maitake, raw;1.0;None;None;mg/100g;1.0
3519;Magnesium, Mg;569;Mushrooms, maitake, raw;10.0;None;None;mg/100g;10.0
3521;Phosphorus, P;569;Mushrooms, maitake, raw;74.0;None;None;mg/100g;74.0
3522;Potassium, K;569;Mushrooms, maitake, raw;204.0;None;None;mg/100g;204.0
3524;Sodium, Na;569;Mushrooms, maitake, raw;1.0;None;None;mg/100g;1.0
3583;Copper, Cu;569;Mushrooms, maitake, raw;0.252;None;None;mg/100g;0.252
3716;Sugars, total;569;Mushrooms, maitake, raw;2070.0;None;None;mg/100g;2070.0
3730;Zinc, Zn;569;Mushrooms, maitake, raw;0.75;None;None;mg/100g;0.75
8425;Thiamin;569;Mushrooms, maitake, raw;0.146;None;None;mg/100g;0.146
12163;Riboflavin;569;Mushrooms, maitake, raw;0.242;None;None;mg/100g;0.242
13393;Water;569;Mushrooms, maitake, raw;90370.0;None;None;mg/100g;90370.0
13403;Selenium, Se;569;Mushrooms, maitake, raw;0.0022;None;None;mg/100g;0.0022
14507;Folate, total;569;Mushrooms, maitake, raw;0.021;None;None;mg/100g;0.021
16258;Iron, Fe;569;Mushrooms, maitake, raw;0.3;None;None;mg/100g;0.3
23049;None;569;None;None;None;None;None;None
23250;None;569;None;None;None;None;None;None
