source_id;orig_source_name;food_id;orig_food_common_name;orig_content;orig_min;orig_max;orig_unit;standard_content
574;Vitamin B-6;666;Salt, table;0.0;None;None;mg/100g;0.0
710;Choline, total;666;Salt, table;0.0;None;None;mg/100g;0.0
1014;Niacin;666;Salt, table;0.0;None;None;mg/100g;0.0
1223;None;666;None;None;None;None;None;None
2100;Caffeine;666;Salt, table;0.0;None;None;mg/100g;0.0
3514;Calcium, Ca;666;Salt, table;24.0;None;None;mg/100g;24.0
3519;Magnesium, Mg;666;Salt, table;1.0;None;None;mg/100g;1.0
3521;Phosphorus, P;666;Salt, table;0.0;None;None;mg/100g;0.0
3522;Potassium, K;666;Salt, table;8.0;None;None;mg/100g;8.0
3524;Sodium, Na;666;Salt, table;38758.0;None;None;mg/100g;38758.0
3583;Copper, Cu;666;Salt, table;0.03;None;None;mg/100g;0.03
3716;Sugars, total;666;Salt, table;0.0;None;None;mg/100g;0.0
3730;Zinc, Zn;666;Salt, table;0.1;None;None;mg/100g;0.1
8425;Thiamin;666;Salt, table;0.0;None;None;mg/100g;0.0
12163;Riboflavin;666;Salt, table;0.0;None;None;mg/100g;0.0
13393;Water;666;Salt, table;200.0;None;None;mg/100g;200.0
13403;Selenium, Se;666;Salt, table;0.0001;None;None;mg/100g;0.0001
14507;Folate, total;666;Salt, table;0.0;None;None;mg/100g;0.0
16258;Iron, Fe;666;Salt, table;0.33;None;None;mg/100g;0.33
23049;None;666;None;None;None;None;None;None
23250;None;666;None;None;None;None;None;None
