source_id;orig_source_name;food_id;orig_food_common_name;orig_content;orig_min;orig_max;orig_unit;standard_content
574;Vitamin B-6;562;Mushrooms, shiitake, dried;0.965;None;None;mg/100g;0.965
710;Choline, total;562;Mushrooms, shiitake, dried;201.7;None;None;mg/100g;201.7
1014;Niacin;562;Mushrooms, shiitake, dried;14.1;None;None;mg/100g;14.1
1223;None;562;None;None;None;None;None;None
2100;Caffeine;562;Mushrooms, shiitake, dried;0.0;None;None;mg/100g;0.0
3514;Calcium, Ca;562;Mushrooms, shiitake, dried;11.0;None;None;mg/100g;11.0
3519;Magnesium, Mg;562;Mushrooms, shiitake, dried;132.0;None;None;mg/100g;132.0
3521;Phosphorus, P;562;Mushrooms, shiitake, dried;294.0;None;None;mg/100g;294.0
3522;Potassium, K;562;Mushrooms, shiitake, dried;1534.0;None;None;mg/100g;1534.0
3524;Sodium, Na;562;Mushrooms, shiitake, dried;13.0;None;None;mg/100g;13.0
3583;Copper, Cu;562;Mushrooms, shiitake, dried;5.165;None;None;mg/100g;5.165
3716;Sugars, total;562;Mushrooms, shiitake, dried;2210.0;None;None;mg/100g;2210.0
3730;Zinc, Zn;562;Mushrooms, shiitake, dried;7.66;None;None;mg/100g;7.66
8425;Thiamin;562;Mushrooms, shiitake, dried;0.3;None;None;mg/100g;0.3
12163;Riboflavin;562;Mushrooms, shiitake, dried;1.27;None;None;mg/100g;1.27
13393;Water;562;Mushrooms, shiitake, dried;9500.0;None;None;mg/100g;9500.0
13403;Selenium, Se;562;Mushrooms, shiitake, dried;0.0461;None;None;mg/100g;0.0461
14507;Folate, total;562;Mushrooms, shiitake, dried;0.163;None;None;mg/100g;0.163
16258;Iron, Fe;562;Mushrooms, shiitake, dried;1.72;None;None;mg/100g;1.72
23049;None;562;None;None;None;None;None;None
23250;None;562;None;None;None;None;None;None
