('id', 'source_id', 'source_type', 'food_id', 'orig_food_id', 'orig_food_common_name', 'orig_food_scientific_name', 'orig_food_part', 'orig_source_id', 'orig_source_name', 'orig_content', 'orig_min', 'orig_max', 'orig_unit', 'orig_citation', 'citation', 'citation_type', 'creator_id', 'updater_id', 'created_at', 'updated_at', 'orig_method', 'orig_unit_expression', 'standard_content', 'preparation_type', 'export')
(153946, 574, 'Compound', 586, '1046', 'Cinnamon stick', None, None, '0041', 'Vitamin B6 (as pyridoxinehydrochloride), total', Decimal('0.158000000'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 1, 16), datetime.datetime(2019, 12, 11, 20, 30, 11), None, None, Decimal('0.158000000'), 'other', 0)
(1724991, 574, 'Compound', 586, '1046', 'Cinnamon stick', None, None, None, None, Decimal('0.158000000'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 27, 1), datetime.datetime(2019, 8, 3, 15, 27, 1), None, None, Decimal('0.158000000'), 'other', 1)
(1093544, 710, 'Compound', 586, None, None, None, None, None, None, None, None, None, None, None, 'MANUAL', 'UNKNOWN', None, None, datetime.datetime(2015, 5, 7, 19, 56, 20), datetime.datetime(2015, 5, 7, 19, 56, 20), None, None, None, None, 1)
(153943, 1014, 'Compound', 586, '1046', 'Cinnamon stick', None, None, '0038', 'Niacin, total', Decimal('1.330000000'), None, None, 'NE', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 1, 16), datetime.datetime(2019, 12, 11, 20, 30, 11), None, None, Decimal('1.330000000'), 'other', 0)
(153944, 1014, 'Compound', 586, '1046', 'Cinnamon stick', None, None, '0039', 'Niacin', Decimal('1.330000000'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 1, 16), datetime.datetime(2019, 12, 11, 20, 30, 11), None, None, Decimal('1.330000000'), 'other', 0)
(153945, 1014, 'Compound', 586, '1046', 'Cinnamon stick', None, None, '0040', 'Niacin, from tryptophan', Decimal('0E-9'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 1, 16), datetime.datetime(2019, 12, 11, 20, 30, 11), None, None, Decimal('0E-9'), 'other', 0)
(1724988, 1014, 'Compound', 586, '1046', 'Cinnamon stick', None, None, None, None, Decimal('1.330000000'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 27, 1), datetime.datetime(2019, 8, 3, 15, 27, 1), None, None, Decimal('1.330000000'), 'other', 1)
(1724989, 1014, 'Compound', 586, '1046', 'Cinnamon stick', None, None, None, None, Decimal('1.330000000'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 27, 1), datetime.datetime(2019, 8, 3, 15, 27, 1), None, None, Decimal('1.330000000'), 'other', 1)
(1079095, 2100, 'Compound', 586, None, None, None, None, None, None, None, None, None, None, None, 'MANUAL', 'UNKNOWN', None, None, datetime.datetime(2015, 5, 7, 19, 52, 29), datetime.datetime(2015, 5, 7, 19, 52, 29), None, None, None, None, 1)
(153956, 3514, 'Compound', 586, '1046', 'Cinnamon stick', None, None, '0058', 'Calcium (Ca)', Decimal('1002.000000000'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 1, 16), datetime.datetime(2019, 12, 11, 20, 30, 11), None, None, Decimal('1002.000000000'), 'other', 0)
(1725001, 3514, 'Compound', 586, '1046', 'Cinnamon stick', None, None, None, None, Decimal('1002.000000000'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 27, 1), datetime.datetime(2019, 8, 3, 15, 27, 1), None, None, Decimal('1002.000000000'), 'other', 1)
(153957, 3519, 'Compound', 586, '1046', 'Cinnamon stick', None, None, '0059', 'Magnesium (Mg)', Decimal('60.000000000'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 1, 16), datetime.datetime(2019, 12, 11, 20, 30, 11), None, None, Decimal('60.000000000'), 'other', 0)
