source_id;orig_source_name;food_id;orig_food_common_name;orig_content;orig_min;orig_max;orig_unit;standard_content
453;None;586;None;None;None;None;None;None
455;None;586;None;None;None;None;None;None
571;None;586;None;None;None;None;None;None
572;None;586;None;None;None;None;None;None
1977;None;586;None;None;None;None;None;None
2251;None;586;Cinnamon stick;0.0;None;None;mg/100 g;0.0
3011;C12:0;586;Cinnamon stick;9.0;None;None;mg/100g;9.0
3192;None;586;None;None;None;None;None;None
7058;None;586;None;None;None;None;None;None
9021;None;586;None;None;None;None;None;None
11798;None;586;None;None;None;None;None;None
11817;None;586;None;None;None;None;None;None
12295;None;586;None;None;None;None;None;None
12741;None;586;None;None;None;None;None;None
13231;None;586;None;None;None;None;None;None
13570;None;586;None;None;None;None;None;None
14800;None;586;None;None;None;None;None;None
16599;None;586;None;None;None;None;None;None
23102;None;586;None;None;None;None;None;None
23288;None;586;None;None;None;None;None;None
24066;None;586;None;None;None;None;None;None
30890;None;586;None;None;None;None;None;None
