charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Energy drink (Ocean Spray Cran-Energy Juice Drink)
# Portion 1 cup = 248 g
Nutrient, Amount, Unit, DV
"Calories", 37.20, KCAL, 
"Fat", 0.00, G, 0%
"Protein", 0.00, G, 0%
"Carbohydrate", 9.30, G, 3%
"Alcohol, ethyl", 0.0, G, 
"Water", 238.53, G, 
"Caffeine", 57.04, MG, 
"Theobromine", 0.00, MG, 
"Sugars", 9.30, G, 
"Fiber", 0.0, G, 0%
"Calcium, Ca", 0.00, MG, 0%
"Iron, Fe", 0.00, MG, 0%
"Magnesium, Mg", 4.96, MG, 1%
"Phosphorus, P", 2.48, MG, 0%
"Potassium, K", 0.00, MG, 0%
"Sodium, Na", 52.08, MG, 2%
"Zinc, Zn", 0.02, MG, 0%
"Copper, Cu", 0.025, MG, 3%
"Selenium, Se", 0.0, UG, 0%
"Retinol", 0.00, UG, 
"Vitamin A, RAE", 0.00, UG, 0%
"Carotene, beta", 0.00, UG, 
"Carotene, alpha", 0.00, UG, 
"Vitamin E", 0.00, MG, 0%
"Vitamin D", 0.00, UG, 0%
"Cryptoxanthin, beta", 0.00, UG, 
"Lycopene", 0.00, UG, 
"Lutein + zeaxanthin", 0.00, UG, 
"Vitamin C", 62.0, MG, 69%
"Thiamin", 0.007, MG, 1%
"Riboflavin", 0.878, MG, 68%
"Niacin", 10.334, MG, 65%
"Vitamin B6", 1.034, MG, 80%
"Folate", 0.00, UG, 
"Vitamin B12", 3.10, UG, 129%
"Choline", 1.0, MG, 
"Vitamin K", 0.2, UG, 0%
"Folic acid", 0.00, UG, 
"Folate, food", 0.00, UG, 
"Folate, DFE", 0.00, UG, 0%
"Vitamin E, added", 0.00, MG, 
"Vitamin B12, added", 3.10, UG, 
"Cholesterol", 0.00, MG, 0%
"Saturated fatty acids", 0.000, G, 0%
"Butanoic acid", 0.000, G, 
"Hexanoic acid", 0.000, G, 
"Octanoic acid", 0.000, G, 
"Decanoic acid", 0.000, G, 
"Dodecanoic acid", 0.000, G, 
"Tetradecanoic acid", 0.000, G, 
"Hexadecanoic acid", 0.000, G, 
"Octadecanoic acid", 0.000, G, 
"Octadecenoic acid", 0.000, G, 
"Octadecadienoic acid", 0.000, G, 
"Octadecatrienoic acid", 0.000, G, 
"Eicosatetraenoic acid", 0.000, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Hexadecenoic acid", 0.000, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.000, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Docosenoic acid", 0.000, G, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Monounsaturated fatty acids", 0.000, G, 
"Polyunsaturated fatty acids", 0.000, G, 
"Tocopherol, alpha", 0.00, MG, 
"Net carbs", 9.3, g, 
# Downloaded from https://www.nutritionvalue.org 
