charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Energy drink (Vault)
# Portion 1 cup = 248 g
Nutrient, Amount, Unit, DV
"Calories", 121.52, KCAL, 
"Fat", 0.00, G, 0%
"Protein", 0.00, G, 0%
"Carbohydrate", 32.22, G, 12%
"Alcohol, ethyl", 0.0, G, 
"Water", 215.09, G, 
"Caffeine", 47.12, MG, 
"Theobromine", 0.00, MG, 
"Sugars", 32.22, G, 
"Fiber", 0.0, G, 0%
"Calcium, Ca", 4.96, MG, 0%
"Iron, Fe", 0.05, MG, 0%
"Magnesium, Mg", 7.44, MG, 2%
"Phosphorus, P", 0.00, MG, 0%
"Potassium, K", 7.44, MG, 0%
"Sodium, Na", 29.76, MG, 1%
"Zinc, Zn", 0.00, MG, 0%
"Copper, Cu", 0.012, MG, 1%
"Selenium, Se", 0.5, UG, 1%
"Retinol", 0.00, UG, 
"Vitamin A, RAE", 0.00, UG, 0%
"Carotene, beta", 0.00, UG, 
"Carotene, alpha", 0.00, UG, 
"Vitamin E", 0.00, MG, 0%
"Vitamin D", 0.00, UG, 0%
"Cryptoxanthin, beta", 0.00, UG, 
"Lycopene", 0.00, UG, 
"Lutein + zeaxanthin", 0.00, UG, 
"Vitamin C", 0.0, MG, 0%
"Thiamin", 0.062, MG, 5%
"Riboflavin", 0.000, MG, 0%
"Niacin", 0.037, MG, 0%
"Vitamin B6", 0.000, MG, 0%
"Folate", 0.00, UG, 
"Vitamin B12", 0.00, UG, 0%
"Choline", 0.7, MG, 
"Vitamin K", 0.0, UG, 0%
"Folic acid", 0.00, UG, 
"Folate, food", 0.00, UG, 
"Folate, DFE", 0.00, UG, 0%
"Vitamin E, added", 0.00, MG, 
"Vitamin B12, added", 0.00, UG, 
"Cholesterol", 0.00, MG, 0%
"Saturated fatty acids", 0.000, G, 0%
"Butanoic acid", 0.000, G, 
"Hexanoic acid", 0.000, G, 
"Octanoic acid", 0.000, G, 
"Decanoic acid", 0.000, G, 
"Dodecanoic acid", 0.000, G, 
"Tetradecanoic acid", 0.000, G, 
"Hexadecanoic acid", 0.000, G, 
"Octadecanoic acid", 0.000, G, 
"Octadecenoic acid", 0.000, G, 
"Octadecadienoic acid", 0.000, G, 
"Octadecatrienoic acid", 0.000, G, 
"Eicosatetraenoic acid", 0.000, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Hexadecenoic acid", 0.000, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.000, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Docosenoic acid", 0.000, G, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Monounsaturated fatty acids", 0.000, G, 
"Polyunsaturated fatty acids", 0.000, G, 
"Tocopherol, alpha", 0.00, MG, 
"Net carbs", 32.22, g, 
# Downloaded from https://www.nutritionvalue.org 
